19:38:27.506 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[[ChromeDriver: chrome on windows (02ef63c7c8ee48b69e0e8e1282210d75)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (02ef63c7c8ee48b69e0e8e1282210d75)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (02ef63c7c8ee48b69e0e8e1282210d75)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (02ef63c7c8ee48b69e0e8e1282210d75)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (02ef63c7c8ee48b69e0e8e1282210d75)] -> css selector: #myTab a]] to be visible
19:38:27.589 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose basic_example level
19:38:28.185 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[ChromeDriver: chrome on windows (02ef63c7c8ee48b69e0e8e1282210d75)] -> css selector: .active.in .list-group] to be visible
19:38:28.825 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose Bootstrap Alerts exercise
19:38:28.887 [TestNG-test=Regression-1] ERROR Util.LoggerUtil - Test boostrapAlert_Click_Success_Should_Show_Message failed
19:38:28.887 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get screenshotOnFail value
19:38:29.057 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Capture boostrapAlert_Click_Success_Should_Show_Message screenshot
19:38:29.286 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Driver tear down
19:38:29.398 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Read src/test/java/TestData/IntermediateTestsData/BoostrapListBoxData.xlsx data
19:38:29.398 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get browser value
19:38:29.399 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get url value
19:38:29.422 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get headless value
19:38:34.994 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Initializing driver
19:38:34.995 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get author value
19:38:34.996 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test boostrapList_Left_SelectAll_And_Move_Should_Move_All_Elements Started
19:38:35.078 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[[ChromeDriver: chrome on windows (fd42c088a2578100be7be8de3c978ec9)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (fd42c088a2578100be7be8de3c978ec9)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (fd42c088a2578100be7be8de3c978ec9)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (fd42c088a2578100be7be8de3c978ec9)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (fd42c088a2578100be7be8de3c978ec9)] -> css selector: #myTab a]] to be visible
19:38:35.171 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose inter_example level
19:38:35.723 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[ChromeDriver: chrome on windows (fd42c088a2578100be7be8de3c978ec9)] -> css selector: .active.in .list-group] to be visible
19:38:36.412 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose Bootstrap List Box exercise
19:38:36.687 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test boostrapList_Left_SelectAll_And_Move_Should_Move_All_Elements Passed
19:38:36.688 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get screenshotOnSuccess value
19:38:37.877 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Driver tear down
19:38:37.880 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get browser value
19:38:37.881 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get url value
19:38:37.923 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get headless value
19:38:43.746 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Initializing driver
19:38:43.747 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get author value
19:38:43.749 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test boostrapList_Left_SelectAll_And_Move_Should_Move_All_Elements Started
19:38:43.812 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[[ChromeDriver: chrome on windows (3fb6a6d9e05b8972d42edf3d8fa9f3be)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (3fb6a6d9e05b8972d42edf3d8fa9f3be)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (3fb6a6d9e05b8972d42edf3d8fa9f3be)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (3fb6a6d9e05b8972d42edf3d8fa9f3be)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (3fb6a6d9e05b8972d42edf3d8fa9f3be)] -> css selector: #myTab a]] to be visible
19:38:43.891 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose inter_example level
19:38:44.465 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[ChromeDriver: chrome on windows (3fb6a6d9e05b8972d42edf3d8fa9f3be)] -> css selector: .active.in .list-group] to be visible
19:38:45.158 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose Bootstrap List Box exercise
19:38:45.457 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test boostrapList_Left_SelectAll_And_Move_Should_Move_All_Elements Passed
19:38:45.457 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get screenshotOnSuccess value
19:38:45.860 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Driver tear down
19:38:45.862 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get browser value
19:38:45.862 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get url value
19:38:45.931 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get headless value
19:38:51.747 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Initializing driver
19:38:51.748 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get author value
19:38:51.748 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test boostrapList_Left_SelectAll_And_Move_Should_Move_All_Elements Started
19:38:51.824 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[[ChromeDriver: chrome on windows (b3aaa254f92c4145a6c7dfd5d90c0e0a)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (b3aaa254f92c4145a6c7dfd5d90c0e0a)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (b3aaa254f92c4145a6c7dfd5d90c0e0a)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (b3aaa254f92c4145a6c7dfd5d90c0e0a)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (b3aaa254f92c4145a6c7dfd5d90c0e0a)] -> css selector: #myTab a]] to be visible
19:38:51.911 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose inter_example level
19:38:52.471 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[ChromeDriver: chrome on windows (b3aaa254f92c4145a6c7dfd5d90c0e0a)] -> css selector: .active.in .list-group] to be visible
19:38:53.197 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose Bootstrap List Box exercise
19:38:53.469 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test boostrapList_Left_SelectAll_And_Move_Should_Move_All_Elements Passed
19:38:53.469 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get screenshotOnSuccess value
